symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BLK,2019-10-18 00:00:00+00:00,445.04,450.19,444.6,448.73,527905,394.2071013011,398.7688633263,393.8173585261,397.4756259367,527905,0.0,1.0
BLK,2019-10-21 00:00:00+00:00,453.65,454.39,447.04,447.06,576616,401.833658784,402.4891352692,395.9786593692,395.9963749498,576616,0.0,1.0
BLK,2019-10-22 00:00:00+00:00,450.32,455.26,449.0,453.63,410487,398.8840146007,403.2597630288,397.7147862758,401.8159432034,410487,0.0,1.0
BLK,2019-10-23 00:00:00+00:00,457.06,457.32,448.33,449.83,378296,404.8541652901,405.0844678389,397.121314323,398.4499828741,378296,0.0,1.0
BLK,2019-10-24 00:00:00+00:00,454.66,459.48,451.71,457.58,405179,402.7282956084,406.9977505524,400.115247458,405.3147703877,405179,0.0,1.0
BLK,2019-10-25 00:00:00+00:00,459.8,460.6,451.67,455.8,475355,407.2811998433,407.9898230705,400.0798162967,403.7380837072,475355,0.0,1.0
BLK,2019-10-28 00:00:00+00:00,466.56,469.5,461.47,461.47,584095,413.2690661133,415.8732564733,408.7604508301,408.7604508301,584095,0.0,1.0
BLK,2019-10-29 00:00:00+00:00,466.16,470.79,464.6,464.95,473729,412.9147544997,417.0159114272,411.5329392066,411.8429618685,473729,0.0,1.0
BLK,2019-10-30 00:00:00+00:00,466.94,467.55,460.63,465.4,323587,413.6056621462,414.1459873569,408.0163964415,412.2415624338,323587,0.0,1.0
BLK,2019-10-31 00:00:00+00:00,461.7,466.94,458.0,464.22,429403,408.9641800079,413.6056621462,405.686797582,411.1963431737,429403,0.0,1.0
BLK,2019-11-01 00:00:00+00:00,469.17,471.6,466.31,466.36,441463,415.5809493921,417.7333924447,413.0476213548,413.0919103065,441463,0.0,1.0
BLK,2019-11-04 00:00:00+00:00,476.53,476.8,472.91,474.88,551197,422.1002830825,422.3394434216,418.8937629793,420.6387476763,551197,0.0,1.0
BLK,2019-11-05 00:00:00+00:00,482.44,484.89,475.79,476.53,716584,427.3352371735,429.5053958069,421.4448065973,422.1002830825,716584,0.0,1.0
BLK,2019-11-06 00:00:00+00:00,489.54,491.58,483.08,484.91,792762,433.6242683151,435.4312575445,427.9021357553,429.5231113876,792762,0.0,1.0
BLK,2019-11-07 00:00:00+00:00,490.16,495.39,489.54,492.2,756488,434.1734513162,438.8060756641,433.6242683151,435.9804405456,756488,0.0,1.0
BLK,2019-11-08 00:00:00+00:00,490.21,491.94,485.66,489.85,356214,434.2177402679,435.7501379967,430.1874456631,433.8988598156,356214,0.0,1.0
BLK,2019-11-11 00:00:00+00:00,486.79,488.81,485.39,486.4,414091,431.1883759715,432.9776496203,429.9482853239,430.8429221483,414091,0.0,1.0
BLK,2019-11-12 00:00:00+00:00,486.79,487.62,484.41,487.0,365285,431.1883759715,431.9235725698,429.0802218706,431.3743895687,365285,0.0,1.0
BLK,2019-11-13 00:00:00+00:00,485.57,487.9,480.57,482.53,334796,430.10772555,432.1715906993,425.6788303799,427.4149572866,334796,0.0,1.0
BLK,2019-11-14 00:00:00+00:00,484.59,485.63,481.84,484.97,413321,429.2396620967,430.1608722921,426.8037697531,429.5762581296,413321,0.0,1.0
BLK,2019-11-15 00:00:00+00:00,490.96,491.88,484.0,486.07,342074,434.8820745434,435.6969912547,428.7170524666,430.550615067,342074,0.0,1.0
BLK,2019-11-18 00:00:00+00:00,491.74,492.57,488.69,490.81,303683,435.5729821899,436.3081787882,432.8713561362,434.7492076883,303683,0.0,1.0
BLK,2019-11-19 00:00:00+00:00,492.8,495.78,491.13,493.0,350598,436.511907966,439.1515294874,435.0326569792,436.6890637728,350598,0.0,1.0
BLK,2019-11-20 00:00:00+00:00,488.81,492.71,485.17,490.58,438802,432.9776496203,436.4321878529,429.7534139364,434.5454785105,438802,0.0,1.0
BLK,2019-11-21 00:00:00+00:00,484.98,489.5,482.54,489.0,526729,429.5851159199,433.5888371537,427.4238150769,433.1459476367,526729,0.0,1.0
BLK,2019-11-22 00:00:00+00:00,485.0,487.77,484.1,485.0,483117,429.6028315006,432.0564394249,428.80563037,429.6028315006,483117,0.0,1.0
BLK,2019-11-25 00:00:00+00:00,491.86,492.56,484.36,486.24,434720,435.679275674,436.2993209978,429.0359329189,430.7011975028,434720,0.0,1.0
BLK,2019-11-26 00:00:00+00:00,490.89,491.46,487.5,490.76,525079,434.820070011,435.3249640604,431.8172790857,434.7049187366,525079,0.0,1.0
BLK,2019-11-27 00:00:00+00:00,494.21,494.64,488.86,490.43,299689,437.760856404,438.1417413886,433.021938572,434.4126116554,299689,0.0,1.0
BLK,2019-11-29 00:00:00+00:00,494.91,496.9,493.46,496.55,239594,438.3809017278,440.1436020055,437.0965221285,439.8335793436,239594,0.0,1.0
BLK,2019-12-02 00:00:00+00:00,489.7,495.69,488.91,495.28,379788,433.7659929605,439.0718093743,433.0662275237,438.7086399704,379788,0.0,1.0
BLK,2019-12-03 00:00:00+00:00,485.76,486.21,478.68,484.64,482263,430.2760235665,430.6746241318,424.0047080056,429.2839510484,482263,0.0,1.0
BLK,2019-12-04 00:00:00+00:00,486.69,493.0,485.66,485.66,730794,431.0997980681,436.6890637728,430.1874456631,430.1874456631,730794,0.0,1.0
BLK,2019-12-05 00:00:00+00:00,490.3,490.54,482.52,485.11,460598,437.2205311932,437.4345489935,430.2827875002,432.5923962618,460598,3.3,1.0
BLK,2019-12-06 00:00:00+00:00,495.76,499.7,491.85,495.47,506995,442.08943615,445.6028950382,438.6027294868,441.830831308,506995,0.0,1.0
BLK,2019-12-09 00:00:00+00:00,497.07,498.09,492.1,494.3,372807,443.2576166433,444.1671922946,438.8256646955,440.7874945315,372807,0.0,1.0
BLK,2019-12-10 00:00:00+00:00,494.03,497.92,492.85,497.79,354071,440.5467245062,444.0155963527,439.4944703214,443.8996700442,354071,0.0,1.0
BLK,2019-12-11 00:00:00+00:00,493.91,497.34,492.62,494.28,468676,440.439715606,443.4983866686,439.2893699294,440.7696597148,468676,0.0,1.0
BLK,2019-12-12 00:00:00+00:00,502.12,503.69,493.52,494.04,535811,447.7609078579,449.1609409682,440.0919366806,440.5556419145,535811,0.0,1.0
